method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,per_window_latency_med_s,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,tsdf_block_count,gpu_name,gpu_total_gb,hw_id
laser,replica,office_4,synthetic_2.0hz,synthetic_fov,50,3.963,3.884,,65.299,70.291,6.7,120.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,office_4,synthetic_0.5hz,synthetic_fov,13,1.495,1.514,,64.184,69.983,6.5,88.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,office_4,synthetic_5.0hz,synthetic_fov,125,6.532,8.353,,66.468,70.384,20.3,161.3,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,loop_2.0hz_s0,synthetic_fov,106,6.292,6.937,,4.395,8.485,11.3,152.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,stopgo_2.0hz_s1,synthetic_fov,77,5.214,5.709,,4.091,8.416,8.2,139.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,synthetic_2.0hz_s1,synthetic_fov,57,4.471,4.377,,3.717,8.397,9.5,130.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,stopgo_2.0hz_s0,synthetic_fov,100,6.094,6.664,,4.309,8.525,7.4,150.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,synthetic_0.5hz_s0,synthetic_fov,20,2.255,2.156,,2.765,8.363,9.4,101.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,synthetic_0.5hz_s1,synthetic_fov,15,1.74,1.574,,2.367,8.189,5.6,87.3,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,synthetic_5.0hz_s1,synthetic_fov,141,6.922,9.313,,4.763,8.623,16.8,167.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,synthetic_2.0hz_s0,synthetic_fov,80,5.471,5.769,,4.218,8.489,9.1,143.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,synthetic_5.0hz_s0,synthetic_fov,198,7.852,12.64,,5.136,8.623,19.9,178.9,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,frl_apartment_0,loop_2.0hz_s1,synthetic_fov,74,5.333,5.168,,4.022,8.455,15.4,143.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,loop_2.0hz_s0,synthetic_fov,84,5.799,5.471,,4.115,8.489,14.3,146.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,stopgo_2.0hz_s1,synthetic_fov,90,5.704,6.172,,4.185,8.485,10.1,145.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,synthetic_2.0hz_s1,synthetic_fov,70,5.137,4.84,,3.9,8.485,12.6,138.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,stopgo_2.0hz_s0,synthetic_fov,67,4.915,4.803,,3.834,8.422,12.2,134.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,synthetic_0.5hz_s0,synthetic_fov,12,1.474,1.35,,2.195,8.122,5.9,85.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,synthetic_0.5hz_s1,synthetic_fov,18,1.96,2.073,,2.647,8.363,6.2,92.5,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,synthetic_5.0hz_s1,synthetic_fov,175,7.695,10.781,,4.983,8.692,15.8,175.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,synthetic_2.0hz_s0,synthetic_fov,47,4.051,3.586,,3.475,8.418,14.3,120.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,synthetic_5.0hz_s0,synthetic_fov,116,6.486,7.663,,4.574,8.485,15.7,157.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_1,loop_2.0hz_s1,synthetic_fov,96,6.07,6.296,,4.322,8.449,10.7,148.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,loop_2.0hz_s0,synthetic_fov,44,3.85,3.522,,3.447,8.397,10.9,121.4,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,stopgo_2.0hz_s1,synthetic_fov,59,4.807,4.026,,3.597,8.363,13.2,138.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,synthetic_2.0hz_s1,synthetic_fov,39,3.671,2.991,,3.287,8.397,3.4,116.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,stopgo_2.0hz_s0,synthetic_fov,57,4.626,4.124,,3.69,8.397,13.8,130.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,synthetic_0.5hz_s0,synthetic_fov,10,1.32,1.163,,2.193,8.042,4.0,79.3,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,synthetic_0.5hz_s1,synthetic_fov,10,1.295,1.234,,2.203,8.042,1.8,80.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,synthetic_5.0hz_s1,synthetic_fov,97,6.184,6.315,,4.254,8.558,10.1,151.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,synthetic_2.0hz_s0,synthetic_fov,37,3.548,2.905,,3.199,8.397,11.4,110.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,synthetic_5.0hz_s0,synthetic_fov,93,5.767,6.275,,4.176,8.416,13.5,148.6,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,hotel_0,loop_2.0hz_s1,synthetic_fov,60,4.818,4.219,,3.739,8.39,14.4,135.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,loop_2.0hz_s0,synthetic_fov,89,5.792,6.175,,4.224,8.455,12.8,140.9,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,stopgo_2.0hz_s1,synthetic_fov,99,6.038,6.843,,4.386,8.518,10.8,145.9,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_2.0hz_s1,synthetic_fov,79,5.31,5.757,,4.106,8.485,11.9,131.5,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,stopgo_2.0hz_s0,synthetic_fov,90,5.827,6.375,,4.319,8.485,12.0,143.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_0.5hz_s0,synthetic_fov,18,1.866,2.138,,2.557,8.363,6.1,80.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_0.5hz_s1,synthetic_fov,20,2.181,2.249,,2.762,8.328,7.6,90.2,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_2.0hz,synthetic_fov,70,5.091,5.176,,65.885,70.356,12.4,150.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_0.5hz,synthetic_fov,18,1.923,2.17,,64.498,70.231,7.7,116.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_5.0hz,synthetic_fov,173,7.106,11.83,,66.882,70.491,18.3,168.1,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_5.0hz_s1,synthetic_fov,196,7.83,12.366,,5.126,8.623,19.1,172.0,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_2.0hz_s0,synthetic_fov,70,4.4,5.092,,3.522,8.416,13.0,117.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,synthetic_5.0hz_s0,synthetic_fov,173,7.37,11.552,,5.093,8.588,10.1,167.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
laser,replica,apartment_0,loop_2.0hz_s1,synthetic_fov,90,5.826,6.329,,4.321,8.518,10.8,140.7,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
panovggt,replica,office_4,synthetic_2.0hz,pano,50,2.661,6.435,6.4349,72.251,82.388,33.9,256.8,0.0,0.0,,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,102.6,RTX PRO 6000
