method,dataset,scene,traj,variant,n_frames,eff_fps,latency_end_to_end_s,latency_source,per_window_latency_med_s,per_window_source,vram_avg_gb,vram_peak_gb,gpu_util_avg_pct,gpu_power_avg_w,cpu_ram_peak_gb,ckpt_size_mb,gpu_name,hw_id,ate_rmse_m,rpe_per_m,metric_capable,scale_estimate,metric_scale_error_pct,extent_error_pct,masked_accuracy_m,masked_completeness_m,masked_chamfer_m,masked_fscore,full360_accuracy_m,full360_completeness_m,full360_chamfer_m,full360_fscore,point_count,map_size_mb,sor_outlier_pct,acc_p95_m,noise_frac,precision_tight,source
laser,replica,office_4,synthetic_2.0hz,synthetic_fov,50.0,3.963,3.884,archive_unspecified,,unavailable,65.299,70.291,6.7,120.2,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.042,0.09699999999999999,False,,,,0.04,0.027999999999999997,0.068,0.87,0.044000000000000004,0.078,0.122,0.728,122538.0,1.8,0.027000000000000003,0.11900000000000001,0.061,0.39899999999999997,archive:bigrun_2026-07
laser,replica,office_4,synthetic_0.5hz,synthetic_fov,13.0,1.495,1.514,archive_unspecified,,unavailable,64.184,69.983,6.5,88.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.04,0.043,False,,,,0.026000000000000002,0.025,0.05,0.956,0.027000000000000003,0.21600000000000003,0.242,0.748,66040.0,1.0,0.024,0.065,0.033,0.638,archive:bigrun_2026-07
laser,replica,office_4,synthetic_5.0hz,synthetic_fov,125.0,6.532,8.353,archive_unspecified,,unavailable,66.468,70.384,20.3,161.3,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.06,0.139,False,,,,0.055999999999999994,0.03,0.086,0.792,0.078,0.077,0.154,0.692,148265.0,2.2,0.033,0.156,0.10400000000000001,0.233,archive:bigrun_2026-07
laser,replica,frl_apartment_0,loop_2.0hz_s0,synthetic_fov,106.0,6.292,6.937,archive_unspecified,,unavailable,4.395,8.485,11.3,152.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,1.1909999999999998,0.515,False,,,,0.46299999999999997,0.515,0.978,0.086,0.8809999999999999,0.488,1.369,0.076,591539.0,8.9,0.038,1.1640000000000001,0.872,0.019,archive:bigrun_2026-07
laser,replica,frl_apartment_0,stopgo_2.0hz_s1,synthetic_fov,77.0,5.214,5.709,archive_unspecified,,unavailable,4.091,8.416,8.2,139.0,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.065,0.09,False,,,,0.095,0.038,0.133,0.615,0.33799999999999997,0.09,0.428,0.418,522728.0,7.8,0.034,0.315,0.292,0.157,archive:bigrun_2026-07
laser,replica,frl_apartment_0,synthetic_2.0hz_s1,synthetic_fov,57.0,4.471,4.377,archive_unspecified,,unavailable,3.717,8.397,9.5,130.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.046,0.066,False,,,,0.085,0.042,0.127,0.629,0.32299999999999995,0.086,0.409,0.436,486520.0,7.3,0.032,0.27,0.271,0.163,archive:bigrun_2026-07
laser,replica,frl_apartment_0,stopgo_2.0hz_s0,synthetic_fov,100.0,6.094,6.664,archive_unspecified,,unavailable,4.309,8.525,7.4,150.6,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.23199999999999998,0.272,False,,,,0.131,0.099,0.22899999999999998,0.495,0.36200000000000004,0.10800000000000001,0.47100000000000003,0.313,473668.0,7.1,0.040999999999999995,0.426,0.415,0.11599999999999999,archive:bigrun_2026-07
laser,replica,frl_apartment_0,synthetic_0.5hz_s0,synthetic_fov,20.0,2.255,2.156,archive_unspecified,,unavailable,2.765,8.363,9.4,101.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.825,0.456,False,,,,0.133,0.106,0.239,0.401,0.325,0.133,0.457,0.332,177192.0,2.7,0.04,0.35100000000000003,0.436,0.11800000000000001,archive:bigrun_2026-07
laser,replica,frl_apartment_0,synthetic_0.5hz_s1,synthetic_fov,15.0,1.74,1.574,archive_unspecified,,unavailable,2.367,8.189,5.6,87.3,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.03,0.032,False,,,,0.057999999999999996,0.045,0.10300000000000001,0.771,0.275,0.095,0.37,0.573,146673.0,2.2,0.031,0.213,0.121,0.258,archive:bigrun_2026-07
laser,replica,frl_apartment_0,synthetic_5.0hz_s1,synthetic_fov,141.0,6.922,9.313,archive_unspecified,,unavailable,4.763,8.623,16.8,167.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.11199999999999999,0.17,False,,,,0.14,0.086,0.226,0.449,0.461,0.095,0.556,0.217,752813.0,11.3,0.038,0.47700000000000004,0.451,0.099,archive:bigrun_2026-07
laser,replica,frl_apartment_0,synthetic_2.0hz_s0,synthetic_fov,80.0,5.471,5.769,archive_unspecified,,unavailable,4.218,8.489,9.1,143.8,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.182,0.205,False,,,,0.126,0.107,0.233,0.46,0.35,0.102,0.45299999999999996,0.299,414160.0,6.2,0.04,0.462,0.365,0.111,archive:bigrun_2026-07
laser,replica,frl_apartment_0,synthetic_5.0hz_s0,synthetic_fov,198.0,7.852,12.64,archive_unspecified,,unavailable,5.136,8.623,19.9,178.9,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.49700000000000005,0.233,False,,,,0.214,0.174,0.389,0.314,0.523,0.157,0.68,0.17,616196.0,9.2,0.04,0.611,0.624,0.07,archive:bigrun_2026-07
laser,replica,frl_apartment_0,loop_2.0hz_s1,synthetic_fov,74.0,5.333,5.168,archive_unspecified,,unavailable,4.022,8.455,15.4,143.4,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,0.07200000000000001,0.065,False,,,,0.11,0.042,0.152,0.542,0.321,0.075,0.395,0.407,565478.0,8.5,0.031,0.331,0.382,0.12,archive:bigrun_2026-07
laser,replica,apartment_1,loop_2.0hz_s0,synthetic_fov,84.0,5.799,5.471,archive_unspecified,,unavailable,4.115,8.489,14.3,146.1,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.245,1.2109999999999999,False,,,,0.36,1.39,1.75,0.109,0.335,2.37,2.705,0.076,382857.0,5.7,0.037000000000000005,0.8,0.802,0.035,archive:bigrun_2026-07
laser,replica,apartment_1,stopgo_2.0hz_s1,synthetic_fov,90.0,5.704,6.172,archive_unspecified,,unavailable,4.185,8.485,10.1,145.7,0.0,0.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,RTX PRO 6000,2.379,1.0190000000000001,False,,,,0.40399999999999997,1.867,2.271,0.049,0.401,2.365,2.765,0.027,480298.0,7.2,0.032,0.857,0.846,0.027999999999999997,archive:bigrun_2026-07
