Method,Paired cells,ATE cm,Masked F,VRAM peak GB,Eff.FPS
laser,20,86.8 ± 46.5,0.348 ± 0.136,8.4 ± 0.1,4.8 ± 0.5
mapanything,20,95.7 ± 30.0,0.256 ± 0.059,44.9 ± 5.4,2.8 ± 0.3
panovggt,20,66.6 ± 32.9,0.580 ± 0.183,24.9 ± 3.3,2.4 ± 0.2
pi3,20,62.5 ± 15.6,0.494 ± 0.147,36.2 ± 8.4,4.7 ± 0.3
prism,13,65.3 ± 35.5,0.417 ± 0.219,15.9 ± 0.9,2.9 ± 0.2
prism_noguards,4,81.2 ± 55.9,0.336 ± 0.166,16.9 ± 0.9,3.3 ± 0.2
prism_nolock,4,83.9 ± 55.3,0.334 ± 0.166,16.4 ± 0.9,3.4 ± 0.2
prism_nostill,4,83.9 ± 55.3,0.335 ± 0.167,16.8 ± 1.0,3.4 ± 0.2
prism_se3,13,67.1 ± 38.7,0.393 ± 0.223,16.0 ± 1.6,2.9 ± 0.2
prism_sim3,12,68.9 ± 41.5,0.396 ± 0.230,15.9 ± 1.2,2.8 ± 0.2
vggtslam,20,131.9 ± 58.8,0.221 ± 0.208,8.9 ± 0.2,4.6 ± 0.8
