reference,comparator,metric,n_matched,mean_delta_ref_minus_cmp,ci95_halfwidth,ref_wins,sign_test_p,ci_excludes_zero
prism_sim3,laser,ate_cm,30,-10.850,14.298,20/30,0.0987,no
prism_sim3,laser,masked_f,30,-0.008,0.063,10/30,0.0987,no
prism_sim3,laser,map_mb,30,14.510,2.519,0/30,0.0000,yes
prism_sim3,laser,outlier_pct,30,-0.950,0.161,28/28,0.0000,yes
prism_sim3,laser,eff_fps,30,-1.787,0.311,0/30,0.0000,yes
prism_sim3,laser,vram_peak_gb,30,7.468,0.867,0/30,0.0000,yes
prism_sim3,mapanything,ate_cm,30,-21.697,13.552,23/30,0.0052,yes
prism_sim3,mapanything,masked_f,30,0.143,0.083,22/30,0.0161,yes
prism_sim3,mapanything,map_mb,30,-10.617,5.358,21/29,0.0241,yes
prism_sim3,mapanything,outlier_pct,30,-1.380,0.245,29/30,0.0000,yes
prism_sim3,mapanything,eff_fps,30,0.120,0.107,21/30,0.0428,yes
prism_sim3,mapanything,vram_peak_gb,30,-27.271,7.655,23/30,0.0052,yes
prism_sim3,panovggt,ate_cm,30,6.243,11.346,9/26,0.1686,no
prism_sim3,panovggt,masked_f,30,-0.204,0.069,4/30,0.0001,yes
prism_sim3,panovggt,map_mb,30,-82.337,13.735,30/30,0.0000,yes
prism_sim3,panovggt,outlier_pct,30,-1.360,0.318,29/29,0.0000,yes
prism_sim3,panovggt,eff_fps,30,0.575,0.308,22/30,0.0161,yes
prism_sim3,panovggt,vram_peak_gb,30,-8.425,3.675,22/30,0.0161,yes
prism_sim3,pi3,ate_cm,30,17.020,13.353,11/30,0.2005,yes
prism_sim3,pi3,masked_f,30,-0.134,0.087,9/30,0.0428,yes
prism_sim3,pi3,map_mb,30,-5.213,4.299,17/30,0.5847,yes
prism_sim3,pi3,outlier_pct,30,-0.390,0.206,20/25,0.0041,yes
prism_sim3,pi3,eff_fps,30,-1.674,0.243,0/30,0.0000,yes
prism_sim3,pi3,vram_peak_gb,30,-18.767,6.055,27/30,0.0000,yes
prism_sim3,prism,ate_cm,30,2.727,8.894,8/22,0.2863,no
prism_sim3,prism,masked_f,30,-0.014,0.059,15/28,0.8506,no
prism_sim3,prism,map_mb,30,-1.303,2.827,12/25,1.0000,no
prism_sim3,prism,outlier_pct,30,0.050,0.103,11/26,0.5572,no
prism_sim3,prism,eff_fps,30,0.039,0.107,18/30,0.3616,no
prism_sim3,prism,vram_peak_gb,30,-0.139,1.274,8/19,0.6476,no
prism_sim3,prism_noguards,ate_cm,11,7.182,25.417,3/11,0.2266,no
prism_sim3,prism_noguards,masked_f,11,0.021,0.120,5/11,1.0000,no
prism_sim3,prism_noguards,map_mb,11,-5.264,8.599,5/10,1.0000,no
prism_sim3,prism_noguards,outlier_pct,11,0.000,0.183,4/10,0.7539,no
prism_sim3,prism_noguards,eff_fps,11,0.173,0.250,6/11,1.0000,no
prism_sim3,prism_noguards,vram_peak_gb,11,-1.815,4.236,4/9,1.0000,no
prism_sim3,prism_nolock,ate_cm,11,4.545,24.564,3/11,0.2266,no
prism_sim3,prism_nolock,masked_f,11,0.023,0.118,5/11,1.0000,no
prism_sim3,prism_nolock,map_mb,11,-4.327,6.273,6/11,1.0000,no
prism_sim3,prism_nolock,outlier_pct,11,-0.036,0.195,4/8,1.0000,no
prism_sim3,prism_nolock,eff_fps,11,0.130,0.189,6/11,1.0000,no
prism_sim3,prism_nolock,vram_peak_gb,11,-1.300,3.137,4/10,0.7539,no
prism_sim3,prism_nostill,ate_cm,11,4.564,24.568,3/11,0.2266,no
prism_sim3,prism_nostill,masked_f,11,0.023,0.120,5/11,1.0000,no
prism_sim3,prism_nostill,map_mb,11,-4.409,6.236,7/11,0.5488,no
prism_sim3,prism_nostill,outlier_pct,11,-0.055,0.197,4/9,1.0000,no
prism_sim3,prism_nostill,eff_fps,11,0.121,0.195,5/11,1.0000,no
prism_sim3,prism_nostill,vram_peak_gb,11,-1.685,3.109,5/10,1.0000,no
prism_sim3,prism_se3,ate_cm,30,0.867,1.400,6/12,1.0000,no
prism_sim3,prism_se3,masked_f,30,0.004,0.010,14/23,0.4049,no
prism_sim3,prism_se3,map_mb,30,0.017,0.563,7/17,0.6291,no
prism_sim3,prism_se3,outlier_pct,30,0.023,0.057,10/20,1.0000,no
prism_sim3,prism_se3,eff_fps,30,-0.014,0.031,13/30,0.5847,no
prism_sim3,prism_se3,vram_peak_gb,30,-0.098,0.210,5/15,0.3018,no
prism_sim3,vggtslam,ate_cm,30,-59.500,19.007,29/30,0.0000,yes
prism_sim3,vggtslam,masked_f,30,0.128,0.056,25/30,0.0003,yes
prism_sim3,vggtslam,map_mb,30,-76.660,13.674,30/30,0.0000,yes
prism_sim3,vggtslam,outlier_pct,30,-1.167,0.210,30/30,0.0000,yes
prism_sim3,vggtslam,eff_fps,30,-1.594,0.636,1/30,0.0000,yes
prism_sim3,vggtslam,vram_peak_gb,30,7.026,0.889,0/30,0.0000,yes
