Method,N,ATE cm↓,drift %/m↓,Masked F↑,Full-360 F↑,Map MB↓,Outlier %↓,Prec@2cm %↑,Scale err %↓,VRAM peak GB↓,per-win lat s↓,Eff.FPS↑
laser,40,86.8,56.7,0.348,0.221,6.1,3.35,9.7,N/A,8.43,—,4.83
mapanything,40,95.7,95.4,0.256,0.177,28.9,3.51,7.4,22.0,44.93,9.20,2.85
panovggt,40,66.6,49.0,0.580,0.453,103.0,3.93,16.9,N/A,24.94,17.44,2.35
pi3,40,62.5,61.3,0.494,0.348,23.4,2.73,14.4,8.7,36.25,5.17,4.72
prism,31,65.3,52.2,0.417,0.309,22.1,2.44,16.3,14.6,15.95,1.60,2.88
prism_noguards,11,81.2,58.8,0.336,0.256,29.6,2.53,11.1,23.0,16.93,1.51,3.33
prism_nolock,11,83.9,63.7,0.334,0.255,28.6,2.56,11.3,22.6,16.41,1.51,3.37
prism_nostill,11,83.9,63.6,0.335,0.255,28.7,2.58,11.3,22.6,16.79,1.51,3.38
prism_se3,31,67.1,48.6,0.393,0.279,21.0,2.46,15.1,13.4,16.01,1.52,2.93
prism_sim3,30,68.9,49.1,0.396,0.283,20.9,2.48,15.5,14.0,15.89,1.53,2.84
vggtslam,40,131.9,159.4,0.221,0.156,102.2,3.71,8.9,N/A,8.90,—,4.61
