method,metric,n_paired_cells,pooled_mean,within_cell_seed_std,seed_std_pct_of_mean,mean_abs_seed_delta
laser,ate_cm,20,86.7800,46.5302,53.6,51.8000
laser,masked_f,20,0.3476,0.1355,39.0,0.1522
laser,full360_f,20,0.2215,0.0905,40.8,0.1000
laser,map_mb,20,6.1325,2.7530,44.9,2.9450
laser,outlier_pct,20,3.3525,0.3671,10.9,0.4350
laser,vram_peak_gb,20,8.4288,0.0700,0.8,0.0721
laser,eff_fps,20,4.8315,0.4935,10.2,0.5884
mapanything,ate_cm,20,95.6525,30.0070,31.4,35.0050
mapanything,masked_f,20,0.2555,0.0592,23.2,0.0673
mapanything,full360_f,20,0.1770,0.0365,20.6,0.0428
mapanything,map_mb,20,28.8600,4.5316,15.7,4.8300
mapanything,outlier_pct,20,3.5100,1.3583,38.7,1.1900
mapanything,scale_err_pct,20,21.9625,11.2565,51.3,12.2850
mapanything,vram_peak_gb,20,44.9284,5.3555,11.9,5.8322
mapanything,eff_fps,20,2.8467,0.2510,8.8,0.2872
mapanything,per_window_lat_s,20,9.2047,2.3582,25.6,2.2330
panovggt,ate_cm,20,66.6375,32.8922,49.4,32.9950
panovggt,masked_f,20,0.5796,0.1832,31.6,0.1859
panovggt,full360_f,20,0.4532,0.1450,32.0,0.1421
panovggt,map_mb,20,102.9650,12.2950,11.9,12.8600
panovggt,outlier_pct,20,3.9300,0.4506,11.5,0.4800
panovggt,vram_peak_gb,20,24.9435,3.3258,13.3,3.2907
panovggt,eff_fps,20,2.3537,0.1579,6.7,0.1692
panovggt,per_window_lat_s,20,17.4375,8.6181,49.4,6.9895
pi3,ate_cm,20,62.4850,15.5864,24.9,16.5000
pi3,masked_f,20,0.4944,0.1468,29.7,0.1608
pi3,full360_f,20,0.3483,0.1166,33.5,0.1307
pi3,map_mb,20,23.3825,3.9501,16.9,3.5350
pi3,outlier_pct,20,2.7325,0.4362,16.0,0.5050
pi3,scale_err_pct,20,8.6800,8.2460,95.0,6.7800
pi3,vram_peak_gb,20,36.2454,8.4248,23.2,6.7927
pi3,eff_fps,20,4.7178,0.3266,6.9,0.3815
pi3,per_window_lat_s,20,5.1721,2.0339,39.3,1.7132
prism,ate_cm,13,65.3129,35.5024,54.4,30.1538
prism,masked_f,13,0.4175,0.2186,52.4,0.2378
prism,full360_f,13,0.3089,0.1427,46.2,0.1632
prism,map_mb,13,22.0839,4.1412,18.8,5.1154
prism,outlier_pct,13,2.4387,0.2828,11.6,0.3077
prism,scale_err_pct,13,14.6258,5.0705,34.7,5.4077
prism,vram_peak_gb,13,15.9493,0.9076,5.7,1.0089
