method,n_frames,n_runs,vram_peak_gb_mean,vram_peak_gb_max
laser,10,2,8.042,8.042
laser,12,1,8.122,8.122
laser,15,1,8.189,8.189
laser,18,2,8.363,8.363
laser,20,2,8.345,8.363
laser,37,1,8.397,8.397
laser,39,1,8.397,8.397
laser,44,1,8.397,8.397
laser,47,1,8.418,8.418
laser,57,2,8.397,8.397
laser,59,1,8.363,8.363
laser,60,1,8.390,8.390
laser,67,1,8.422,8.422
laser,70,2,8.450,8.485
laser,74,1,8.455,8.455
laser,77,1,8.416,8.416
laser,79,1,8.485,8.485
laser,80,1,8.489,8.489
laser,84,1,8.489,8.489
laser,89,1,8.455,8.455
laser,90,3,8.496,8.518
laser,93,1,8.416,8.416
laser,96,1,8.449,8.449
laser,97,1,8.558,8.558
laser,99,1,8.518,8.518
laser,100,1,8.525,8.525
laser,106,1,8.485,8.485
laser,116,1,8.485,8.485
laser,141,1,8.623,8.623
laser,173,1,8.588,8.588
laser,175,1,8.692,8.692
laser,196,1,8.623,8.623
laser,198,1,8.623,8.623
mapanything,10,2,12.111,14.176
mapanything,12,1,12.729,12.729
mapanything,15,1,13.757,13.757
mapanything,18,2,15.812,18.350
mapanything,20,2,16.860,18.601
mapanything,37,1,21.537,21.537
mapanything,39,1,27.976,27.976
mapanything,44,1,32.086,32.086
mapanything,47,1,33.743,33.743
mapanything,57,2,39.007,39.007
mapanything,59,1,40.097,40.097
mapanything,60,1,40.580,40.580
mapanything,67,1,44.564,44.564
mapanything,70,2,45.906,45.906
mapanything,74,1,48.025,48.025
mapanything,77,1,49.891,49.891
mapanything,79,1,50.919,50.919
mapanything,80,1,51.464,51.464
mapanything,84,1,53.645,53.645
mapanything,89,1,56.036,56.036
mapanything,90,3,56.602,56.602
mapanything,93,1,58.468,58.468
mapanything,96,1,60.020,60.020
mapanything,97,1,60.314,60.314
mapanything,99,1,61.362,61.362
mapanything,100,1,61.887,61.887
mapanything,106,1,65.116,65.116
mapanything,116,1,69.061,69.061
mapanything,141,1,70.131,70.131
mapanything,173,1,70.886,70.886
mapanything,175,1,70.760,70.760
mapanything,196,1,71.389,71.389
mapanything,198,1,71.494,71.494
panovggt,10,2,11.763,11.763
panovggt,12,1,12.201,12.201
panovggt,15,1,12.859,12.859
panovggt,18,2,13.514,13.514
panovggt,20,2,13.503,13.503
panovggt,37,1,16.844,16.844
panovggt,39,1,18.109,18.109
panovggt,44,1,19.212,19.212
panovggt,47,1,19.866,19.866
panovggt,57,2,20.778,20.778
panovggt,59,1,21.177,21.177
panovggt,60,1,21.366,21.366
panovggt,67,1,24.245,24.245
panovggt,70,2,23.339,23.339
panovggt,74,1,24.117,24.117
panovggt,77,1,24.710,24.710
panovggt,79,1,25.105,25.105
panovggt,80,1,25.298,25.298
panovggt,84,1,26.093,26.093
panovggt,89,1,29.073,29.073
panovggt,90,3,27.271,27.271
panovggt,93,1,27.858,27.858
panovggt,96,1,28.443,28.443
panovggt,97,1,28.638,28.638
panovggt,99,1,29.037,29.037
panovggt,100,1,29.232,29.232
panovggt,106,1,32.791,32.791
panovggt,116,1,32.378,32.378
panovggt,141,1,37.293,37.293
panovggt,173,1,43.585,43.585
panovggt,175,1,43.985,43.985
panovggt,196,1,48.115,48.115
panovggt,198,1,48.505,48.505
pi3,10,2,15.387,15.387
pi3,12,1,17.148,17.148
pi3,15,1,18.214,18.214
pi3,18,2,15.808,15.808
pi3,20,2,21.049,21.049
pi3,37,1,28.555,28.555
pi3,39,1,29.150,29.150
pi3,44,1,32.065,32.065
pi3,47,1,33.986,33.986
pi3,57,2,38.826,38.826
pi3,59,1,39.512,39.512
pi3,60,1,40.471,40.471
pi3,67,1,38.227,38.227
pi3,70,2,39.867,39.867
pi3,74,1,35.479,35.479
pi3,77,1,35.683,35.683
pi3,79,1,36.354,36.354
pi3,80,1,36.696,36.696
pi3,84,1,38.082,38.082
pi3,89,1,31.606,31.606
pi3,90,3,31.981,31.981
pi3,93,1,32.141,32.141
pi3,96,1,34.276,34.276
pi3,97,1,33.653,33.653
pi3,99,1,34.431,34.431
pi3,100,1,31.501,31.501
pi3,106,1,32.885,32.885
pi3,116,1,38.401,38.401
pi3,141,1,50.824,50.824
pi3,173,1,69.686,69.686
pi3,175,1,70.978,70.978
pi3,196,1,85.278,85.278
pi3,198,1,86.717,86.717
prism,10,2,15.473,16.030
prism,12,1,15.756,15.756
prism,15,1,18.100,18.100
prism,18,2,18.551,19.692
prism,20,2,17.914,18.283
prism,37,1,13.535,13.535
prism,39,1,13.944,13.944
prism,57,1,13.944,13.944
prism,60,1,29.781,29.781
prism,70,2,15.758,17.572
prism,74,1,13.944,13.944
prism,77,1,13.944,13.944
prism,79,1,15.823,15.823
prism,80,1,13.772,13.772
prism,89,1,14.734,14.734
prism,90,3,15.340,16.725
prism,96,1,18.874,18.874
prism,99,1,15.638,15.638
prism,100,1,13.944,13.944
prism,106,1,14.390,14.390
prism,141,1,13.944,13.944
prism,173,1,15.059,15.059
prism,175,1,16.313,16.313
prism,196,1,13.633,13.633
prism,198,1,13.944,13.944
prism_noguards,60,1,36.306,36.306
prism_noguards,74,1,13.944,13.944
prism_noguards,77,1,13.944,13.944
prism_noguards,89,1,14.734,14.734
prism_noguards,90,3,14.972,16.725
prism_noguards,96,1,18.406,18.406
prism_noguards,99,1,15.592,15.592
prism_noguards,100,1,13.944,13.944
prism_noguards,106,1,14.390,14.390
prism_nolock,60,1,29.781,29.781
prism_nolock,74,1,13.839,13.839
prism_nolock,77,1,13.944,13.944
prism_nolock,89,1,14.734,14.734
prism_nolock,90,3,15.123,16.725
prism_nolock,96,1,18.908,18.908
prism_nolock,99,1,15.638,15.638
prism_nolock,100,1,13.944,13.944
prism_nolock,106,1,14.357,14.357
prism_nostill,60,1,29.781,29.781
prism_nostill,74,1,13.839,13.839
prism_nostill,77,1,13.944,13.944
prism_nostill,89,1,14.701,14.701
prism_nostill,90,3,16.546,18.968
prism_nostill,96,1,18.908,18.908
prism_nostill,99,1,15.638,15.638
prism_nostill,100,1,13.906,13.906
prism_nostill,106,1,14.390,14.390
prism_se3,10,2,15.473,16.030
prism_se3,12,1,15.756,15.756
prism_se3,15,1,18.100,18.100
prism_se3,18,2,18.551,19.692
prism_se3,20,2,17.897,18.249
prism_se3,37,1,13.568,13.568
prism_se3,39,1,13.944,13.944
prism_se3,57,1,13.944,13.944
prism_se3,60,1,14.915,14.915
prism_se3,70,2,16.599,19.359
prism_se3,74,1,13.944,13.944
prism_se3,77,1,13.839,13.839
prism_se3,79,1,19.375,19.375
prism_se3,80,1,13.902,13.902
prism_se3,89,1,14.869,14.869
prism_se3,90,3,16.708,18.935
prism_se3,96,1,15.250,15.250
prism_se3,99,1,14.422,14.422
prism_se3,100,1,13.944,13.944
prism_se3,106,1,15.223,15.223
prism_se3,141,1,13.805,13.805
prism_se3,173,1,14.441,14.441
prism_se3,175,1,24.339,24.339
prism_se3,196,1,16.689,16.689
prism_se3,198,1,14.825,14.825
prism_sim3,10,2,15.473,16.030
prism_sim3,12,1,15.756,15.756
prism_sim3,15,1,18.100,18.100
prism_sim3,18,2,18.551,19.692
prism_sim3,20,2,17.897,18.249
prism_sim3,37,1,13.703,13.703
prism_sim3,39,1,13.944,13.944
prism_sim3,57,1,13.772,13.772
prism_sim3,60,1,13.738,13.738
prism_sim3,70,2,16.686,19.428
prism_sim3,74,1,13.944,13.944
prism_sim3,77,1,13.944,13.944
prism_sim3,79,1,16.532,16.532
prism_sim3,80,1,13.902,13.902
prism_sim3,89,1,14.869,14.869
prism_sim3,90,3,16.672,18.901
prism_sim3,96,1,15.269,15.269
prism_sim3,99,1,15.030,15.030
prism_sim3,100,1,14.118,14.118
prism_sim3,106,1,15.284,15.284
prism_sim3,141,1,13.805,13.805
prism_sim3,173,1,14.527,14.527
prism_sim3,175,1,24.339,24.339
prism_sim3,198,1,14.825,14.825
vggtslam,10,2,7.850,8.166
vggtslam,12,1,8.166,8.166
vggtslam,15,1,8.309,8.309
vggtslam,18,2,8.822,8.894
vggtslam,20,2,8.808,9.017
vggtslam,37,1,9.017,9.017
vggtslam,39,1,9.020,9.020
vggtslam,44,1,9.017,9.017
vggtslam,47,1,9.017,9.017
vggtslam,57,2,9.017,9.017
vggtslam,59,1,9.020,9.020
vggtslam,60,1,9.020,9.020
vggtslam,67,1,9.017,9.017
vggtslam,70,2,9.018,9.020
vggtslam,74,1,9.017,9.017
vggtslam,77,1,9.017,9.017
vggtslam,79,1,9.017,9.017
vggtslam,80,1,9.020,9.020
vggtslam,84,1,9.020,9.020
vggtslam,89,1,9.020,9.020
vggtslam,90,3,9.019,9.020
vggtslam,93,1,9.017,9.017
vggtslam,96,1,9.020,9.020
vggtslam,97,1,9.020,9.020
vggtslam,99,1,9.017,9.017
vggtslam,100,1,9.020,9.020
vggtslam,106,1,9.020,9.020
vggtslam,116,1,9.020,9.020
vggtslam,141,1,9.017,9.017
vggtslam,173,1,9.020,9.020
vggtslam,175,1,9.020,9.020
vggtslam,196,1,9.020,9.020
vggtslam,198,1,9.020,9.020
